市场,代码,简称,退市年份,备注
深市主板,000004,*ST国华,2026,财务类退市
深市主板,000023,*ST深天,2024,市值退市
深市主板,000033,新都退,2017,财务类退市
深市主板,000038,大通退,2023,财务类退市
深市主板,000040,*ST旭蓝,2025,面值退市
深市主板,000046,*ST泛海,2024,面值退市
深市主板,000047,ST中侨,2003,财务类退市
深市主板,000150,*ST宜康,2023,面值退市
深市主板,000156,*ST嘉瑞,2007,财务类退市
深市主板,000405,ST鑫光,2004,财务类退市
深市主板,000412,ST五环,2003,财务类退市
深市主板,000416,*ST民控,2024,财务类退市
深市主板,000430,S*ST张股,2007,财务类退市
深市主板,000502,绿景退,2022,财务类退市
深市主板,000508,琼民源A,1999,重大违法
深市主板,000511,烯碳退,2018,财务类退市
深市主板,000515,攀渝钛业,2009,吸收合并
深市主板,000522,白云山A,2013,吸收合并
深市主板,000527,美的电器,2013,吸收合并
深市主板,000535,*ST猴王,2005,财务类退市
深市主板,000540,*ST中天,2023,面值退市
深市主板,000542,TCL通讯,2004,吸收合并
深市主板,000549,S湘火炬,2007,吸收合并
深市主板,000556,PT南洋,2002,财务类退市
深市主板,000562,宏源证券,2015,吸收合并
深市主板,000569,长城股份,2009,吸收合并
深市主板,000578,盐湖集团,2011,吸收合并
深市主板,000583,S*ST托普,2007,财务类退市
深市主板,000585,东电退,2022,财务类退市
深市主板,000587,*ST金洲,2023,面值退市
深市主板,000588,PT粤金曼,2001,财务类退市
深市主板,000594,国恒退,2015,财务类退市
深市主板,000602,金马集团,2013,吸收合并
深市主板,000606,顺利退,2023,财务类退市
深市主板,000611,天首退,2022,财务类退市
深市主板,000613,东海A退,2022,财务类退市
深市主板,000621,*ST比特,2004,财务类退市
深市主板,000622,恒立退,2025,未披露定期报告
深市主板,000627,*ST天茂,2025,主动退市
深市主板,000638,*ST万方,2026,重大违法
深市主板,000653,ST九州,2002,财务类退市
深市主板,000656,金科退,2023,面值退市
深市主板,000658,ST海洋,2002,财务类退市
深市主板,000660,*ST南华,2004,财务类退市
深市主板,000667,美好置业,2023,面值退市
深市主板,000671,阳光城,2023,面值退市
深市主板,000673,当代退,2022,财务类退市
深市主板,000675,ST银山,2002,财务类退市
深市主板,000689,ST宏业,2002,财务类退市
深市主板,000693,华泽退,2019,财务类退市
深市主板,000699,佳纸1,2005,财务类退市
深市主板,000730,环保1,2005,财务类退市
深市主板,000732,泰禾,2023,面值退市
深市主板,000765,*ST华信,2005,财务类退市
深市主板,000769,*ST大菲,2005,财务类退市
深市主板,000787,*ST创智,2013,财务类退市
深市主板,000805,*ST炎黄,2013,财务类退市
深市主板,000806,银河退,2023,财务类退市
深市主板,000827,*ST长兴,2005,财务类退市
深市主板,000832,龙涤3,2005,财务类退市
深市主板,000836,*ST富通,2024,面值退市
深市主板,000851,*ST高鸿,2025,面值退市
深市主板,000918,嘉凯城,2023,面值退市
深市主板,000961,ST中南,2024,面值退市
深市主板,000971,*ST高升,2024,面值退市
深市主板,000979,中弘退,2018,面值退市
深市主板,000981,海核退,2023,财务类退市
深市主板,002002,ST鸿达,2024,面值退市
深市主板,002070,众和退,2019,财务类退市
深市主板,002089,新海退,2024,重大违法
深市主板,002113,*ST天润,2023,面值退市
深市主板,002147,新光退,2022,财务类退市
深市主板,002220,天宝退,2020,面值退市
深市主板,002231,*ST奥维,2026,市值退市
深市主板,002336,人乐退,2025,财务类退市
深市主板,002411,必康退,2023,财务类退市
深市主板,002417,深南退,2023,财务类退市
深市主板,002473,圣莱退,2022,财务类退市
深市主板,002477,雏鹰退,2019,面值退市
深市主板,002503,*ST搜特,2023,面值退市
深市主板,002680,长生退,2019,重大违法
深市主板,002699,*ST美盛,2024,面值退市
深市主板,002740,*ST爱迪,2024,面值退市
深市主板,002750,龙津退,2025,财务类退市
深市主板,002776,*ST柏龙,2024,面值退市
深市主板,002781,奇信退,2023,重大违法
深市主板,002808,*ST恒久,2026,财务类退市
深市主板,002898,*ST赛隆,2026,财务类退市
创业板,300029,*ST天龙,2026,财务类退市
创业板,300038,数知退,2022,财务类退市
创业板,300089,文化退,2023,面值退市
创业板,300090,盛运退,2020,面值退市
创业板,300104,乐视退,2020,财务类退市
创业板,300116,*ST保力,2024,面值退市
创业板,300117,*ST嘉寓,2025,面值退市
创业板,300156,神雾退,2020,财务类退市
创业板,300178,腾邦退,2022,财务类退市
创业板,300202,聚龙退,2022,财务类退市
创业板,300208,中程退,2025,财务类退市
创业板,300216,千山退,2020,财务类退市
创业板,300262,*ST巴安,2024,面值退市
创业板,300273,和佳退,2023,财务类退市
创业板,300282,*ST三盛,2024,财务类退市
创业板,300297,蓝盾退,2023,重大违法
创业板,300312,邦讯退,2022,财务类退市
创业板,300330,计通退,2023,重大违法
创业板,300344,立方退,2026,重大违法
创业板,300367,网力退,2022,财务类退市
创业板,300372,欣泰退,2017,重大违法
创业板,300379,东通退,2026,重大违法
创业板,300391,长药退,2026,重大违法
创业板,300392,腾信退,2023,财务类退市
创业板,300431,暴风退,2020,财务类退市
创业板,300526,中潜退,2023,财务类退市
创业板,300630,普利退,2025,财务类退市
创业板,300742,*ST越博,2024,财务类退市
创业板,300799,*ST左江,2024,重大违法
沪市主板,600002,齐鲁退市,2006,吸收合并
沪市主板,600003,ST东北高,2010,吸收合并
沪市主板,600005,武钢股份,2017,吸收合并
沪市主板,600065,*ST联谊,2007,财务类退市
沪市主板,600069,退市银鸽,2020,面值退市
沪市主板,600070,*ST富润,2025,面值退市
沪市主板,600074,退市保千,2020,财务类退市
沪市主板,600077,宋都退,2023,面值退市
沪市主板,600083,*ST博信,2025,市值退市
沪市主板,600087,退市长油,2014,财务类（后重新上市）
沪市主板,600090,退市济堂,2022,财务类退市
沪市主板,600091,退市明科,2022,财务类退市
沪市主板,600092,S*ST精密,2006,财务类退市
沪市主板,600093,退市易见,2022,财务类退市
沪市主板,600102,莱钢股份,2012,吸收合并
沪市主板,600146,退市环球,2022,财务类退市
沪市主板,600175,退市美都,2020,面值退市
沪市主板,600181,S*ST云大,1998,财务类退市
沪市主板,600193,*ST创兴,2026,财务类退市
沪市主板,600209,退市罗顿,2022,财务类退市
沪市主板,600225,退市卓朗,2025,重大违法
沪市主板,600240,退市华业,2020,面值退市
沪市主板,600242,中昌退,2023,财务类退市
沪市主板,600253,天方药业,2013,吸收合并
沪市主板,600263,路桥建设,2012,吸收合并
