代码,日期,每股送股,每股配股,配股价,每股红利
SH101966,20020614,0.0,0.0,0.0,11.83
SH101966,20010614,0.0,0.0,0.0,11.83
SH101966,20000614,0.0,0.0,0.0,11.83
SH101966,19990614,0.0,0.0,0.0,11.83
SH101966,19980615,0.0,0.0,0.0,11.83
SH101966,19970616,0.0,0.0,0.0,11.83
SH111016,20041213,0.0,0.0,0.0,0.4119
SH120306,20091208,0.0,0.0,0.0,5.02
SH120306,20081208,0.0,0.0,0.0,5.02
SH120306,20071207,0.0,0.0,0.0,5.02
SH120306,20061207,0.0,0.0,0.0,5.02
SH120306,20051207,0.0,0.0,0.0,5.02
SH120306,20041207,0.0,0.0,0.0,5.02
SH120486,20090922,0.0,0.0,0.0,5.6
SH120486,20080919,0.0,0.0,0.0,5.6
SH120486,20070921,0.0,0.0,0.0,5.6
SH120486,20060921,0.0,0.0,0.0,5.6
SH120486,20050921,0.0,0.0,0.0,5.6
SH120506,20100428,0.0,0.0,0.0,5.28
SH120506,20090428,0.0,0.0,0.0,5.28
SH120506,20070427,0.0,0.0,0.0,5.28
SH120506,20060428,0.0,0.0,0.0,5.28
SH122006,20100310,0.0,0.0,0.0,5.5
SH122006,20090309,0.0,0.0,0.0,5.5
SH122016,20100729,0.0,0.0,0.0,5.4
SH122946,20100723,0.0,0.0,0.0,5.94
SH122956,20100604,0.0,0.0,0.0,5.2
SH160106,20180117,0.0,0.0,0.0,0.044
SH160106,20170119,0.0,0.0,0.0,0.02
SH160106,20160121,0.0,0.0,0.0,0.645
SH160106,20150121,0.0,0.0,0.0,0.18
SH160106,20140120,0.0,0.0,0.0,0.16
SH160106,20130116,0.0,0.0,0.0,0.03
SH160106,20120113,0.0,0.0,0.0,0.02
SH160106,20110117,0.0,0.0,0.0,0.073
SH160106,20100316,0.0,0.0,0.0,0.05
SH160106,20100315,0.0,0.0,0.0,0.05
SH160106,20081222,0.0,0.0,0.0,0.05
SH160106,20081219,0.0,0.0,0.0,0.05
SH160106,20080520,0.0,0.0,0.0,0.35
SH160106,20080519,0.0,0.0,0.0,0.35
SH160106,20061129,0.0,0.0,0.0,0.747
SH160106,20061128,0.0,0.0,0.0,0.747
SH160106,20060328,0.0,0.0,0.0,0.057
SH160106,20060228,0.0,0.0,0.0,0.05
SH160106,20060119,0.0,0.0,0.0,0.05
SH160116,20110121,0.0,0.0,0.0,0.08
SH160116,20100805,0.0,0.0,0.0,0.1
SH160116,20100401,0.0,0.0,0.0,0.12
SH160136,20171201,0.0248,0.0,0.0,0.0
SH160136,20161201,0.0433,0.0,0.0,0.0
SH160306,20121113,0.0,0.0,0.0,0.037
SH160306,20120516,0.0,0.0,0.0,0.011
SH160406,20091103,0.0,0.0,0.0,0.23
SH160406,20070807,0.0,0.0,0.0,0.31
SH160406,20070115,0.0,0.0,0.0,0.08
SH160416,20120828,0.0,0.0,0.0,0.04
SH160506,20100119,0.0,0.0,0.0,0.066
SH160506,20081215,0.0,0.0,0.0,0.07
SH160506,20070727,0.0,0.0,0.0,0.0058
SH160506,20070326,0.0,0.0,0.0,0.0032
SH160516,20171201,0.0202,0.0,0.0,0.0
SH160516,20161201,0.0213,0.0,0.0,0.0
SH160516,20151201,0.0058,0.0,0.0,0.0
SH160626,20180102,0.0182,0.0,0.0,0.0
SH160626,20170103,0.0203,0.0,0.0,0.0
SH160626,20160104,0.0079,0.0,0.0,0.0
SH160626,20150513,0.5046,0.0,0.0,0.0
SH160626,20150217,0.5261,0.0,0.0,0.0
SH160626,20150105,0.0163,0.0,0.0,0.0
SH160636,20161101,0.0256,0.0,0.0,0.0
SH160706,20180116,0.0,0.0,0.0,0.0233
SH160706,20070823,0.0,0.0,0.0,0.429
SH160706,20070822,0.0,0.0,0.0,0.429
SH160706,20070808,0.0,0.0,0.0,0.2
SH160706,20070305,0.0,0.0,0.0,0.069
SH160706,20070205,0.0,0.0,0.0,0.92
SH160706,20060619,0.0,0.0,0.0,0.15
SH160706,20060414,0.0,0.0,0.0,0.03
SH160706,20060309,0.0,0.0,0.0,0.07
SH160716,20090225,0.0,0.0,0.0,0.006
SH160716,20081224,0.0,0.0,0.0,0.013
SH160806,20140521,0.0322,0.0,0.0,0.0
SH160806,20130521,0.0284,0.0,0.0,0.0
SH160906,20100120,0.0,0.0,0.0,0.09
SH160906,20070411,0.0,0.0,0.0,0.61
SH160906,20070406,0.0,0.0,0.0,0.71
SH161016,20121122,0.0246,0.0,0.0,0.0
SH161016,20120522,0.0244,0.0,0.0,0.0
SH161016,20111122,0.0229,0.0,0.0,0.0
SH161026,20171215,0.0239,0.0,0.0,0.0
SH161026,20161215,0.0265,0.0,0.0,0.0
SH161026,20151215,0.0082,0.0,0.0,0.0
SH161026,20150525,0.5833,0.0,0.0,0.0
SH161106,20100317,0.0,0.0,0.0,0.08
SH161106,20100208,0.0,0.0,0.0,0.15
SH161106,20091222,0.0,0.0,0.0,0.06
SH161106,20081124,0.0,0.0,0.0,0.22
SH161106,20080917,0.0,0.0,0.0,0.2
SH161106,20080617,0.0,0.0,0.0,0.25
SH161106,20080414,0.0,0.0,0.0,0.2
SH161106,20070402,0.0,0.0,0.0,0.12
SH161106,20070104,0.0,0.0,0.0,0.06
SH161206,20101227,0.0,0.0,0.0,0.35
SH161206,20100112,0.0,0.0,0.0,0.2
SH161206,20090522,0.0,0.0,0.0,0.04
SH161216,20161215,0.0,0.0,0.0,0.01
SH161216,20161115,0.0,0.0,0.0,0.006
SH161216,20161024,0.0,0.0,0.0,0.007
SH161216,20160118,0.0,0.0,0.0,0.006
SH161216,20151215,0.0,0.0,0.0,0.006
SH161216,20151116,0.0,0.0,0.0,0.007
SH161216,20151021,0.0,0.0,0.0,0.005
SH161216,20150916,0.0,0.0,0.0,0.004
SH161216,20150817,0.0,0.0,0.0,0.02
SH161216,20150715,0.0,0.0,0.0,0.006
SH161216,20150615,0.0,0.0,0.0,0.015
SH161216,20150518,0.0,0.0,0.0,0.015
SH161216,20150416,0.0,0.0,0.0,0.03
SH161216,20150316,0.0,0.0,0.0,0.02
SH161216,20150213,0.0,0.0,0.0,0.03
SH161216,20150119,0.0,0.0,0.0,0.08
SH161216,20141215,0.0,0.0,0.0,0.03
SH161216,20141114,0.0,0.0,0.0,0.015
SH161216,20141022,0.0,0.0,0.0,0.013
SH161216,20140916,0.0,0.0,0.0,0.002
SH161216,20140813,0.0,0.0,0.0,0.017
SH161216,20131018,0.0,0.0,0.0,0.003
SH161216,20130912,0.0,0.0,0.0,0.003
SH161216,20130813,0.0,0.0,0.0,0.003
SH161216,20130711,0.0,0.0,0.0,0.01
SH161216,20130618,0.0,0.0,0.0,0.01
SH161216,20130514,0.0,0.0,0.0,0.015
SH161216,20130415,0.0,0.0,0.0,0.01
SH161216,20130313,0.0,0.0,0.0,0.02
SH161216,20130220,0.0,0.0,0.0,0.01
SH161216,20130116,0.0,0.0,0.0,0.005
SH161216,20121213,0.0,0.0,0.0,0.005
SH161216,20121113,0.0,0.0,0.0,0.005
SH161216,20121018,0.0,0.0,0.0,0.004
SH161216,20120913,0.0,0.0,0.0,0.004
SH161216,20120813,0.0,0.0,0.0,0.01
SH161216,20120712,0.0,0.0,0.0,0.008
SH161216,20120613,0.0,0.0,0.0,0.01
SH161216,20120514,0.0,0.0,0.0,0.01
SH161216,20120418,0.0,0.0,0.0,0.01
SH161306,20091211,0.0,0.0,0.0,0.02
SH161306,20091126,0.0,0.0,0.0,0.02
SH161306,20091112,0.0,0.0,0.0,0.04
SH161306,20091027,0.0,0.0,0.0,0.02
SH161306,20090820,0.0,0.0,0.0,0.01
SH161306,20090807,0.0,0.0,0.0,0.03
SH161306,20090727,0.0,0.0,0.0,0.03
SH161306,20090714,0.0,0.0,0.0,0.03
SH161506,20151217,0.0,0.0,0.0,0.32
SH161506,20141218,0.0,0.0,0.0,0.03
SH161506,20121024,0.0227,0.0,0.0,0.0
SH161606,20071025,0.0,0.0,0.0,0.77
SH161606,20070312,0.0,0.0,0.0,1.11
SH161606,20060530,0.0,0.0,0.0,0.06
SH161706,20070322,1.3103,0.0,0.0,0.0
SH161706,20070119,0.0,0.0,0.0,0.2
SH161706,20061102,0.0,0.0,0.0,0.1
SH161706,20060606,0.0,0.0,0.0,0.2
SH161706,20060418,0.0,0.0,0.0,0.05
SH161706,20060301,0.0,0.0,0.0,0.035
SH161716,20150302,0.1337,0.0,0.0,0.0
SH161726,20171215,0.0209,0.0,0.0,0.0
SH161726,20161215,0.0227,0.0,0.0,0.0
SH161726,20151215,0.0098,0.0,0.0,0.0
SH161806,20110325,0.0,0.0,0.0,0.11
SH161806,20100422,0.0,0.0,0.0,0.25
SH161806,20070924,0.0,0.0,0.0,1.0
SH161806,20070802,0.0,0.0,0.0,0.2
SH161816,20180102,0.0215,0.0,0.0,0.0
SH161816,20170103,0.0239,0.0,0.0,0.0
SH161816,20160104,0.0098,0.0,0.0,0.0
SH161816,20150526,1.1023,0.0,0.0,0.0
SH161816,20150105,0.0235,0.0,0.0,0.0
SH161816,20140102,0.0347,0.0,0.0,0.0
SH161816,20130104,0.0101,0.0,0.0,0.0
SH161816,20120104,0.0381,0.0,0.0,0.0
SH161826,20171201,0.0379,0.0,0.0,0.0
SH161826,20161201,0.0328,0.0,0.0,0.0
SH161826,20151201,0.0093,0.0,0.0,0.0
SH161826,20150108,0.4759,0.0,0.0,0.0
SH161826,20141201,0.0366,0.0,0.0,0.0
SH161826,20131202,0.0126,0.0,0.0,0.0
SH161906,20081230,0.0,0.0,0.0,0.02
SH163106,20110919,0.0,0.0,0.0,0.27
SH163106,20110112,0.0,0.0,0.0,0.05
SH163106,20100119,0.0,0.0,0.0,0.05
SH163106,20090723,0.0,0.0,0.0,0.05
SH163106,20090421,0.0,0.0,0.0,0.05
SH163116,20170515,0.0218,0.0,0.0,0.0
SH163116,20160513,0.01,0.0,0.0,0.0
SH163206,20101223,0.0,0.0,0.0,0.16
SH163206,20091223,0.0,0.0,0.0,0.18
SH163206,20090724,0.0,0.0,0.0,0.14
SH163206,20090514,0.0,0.0,0.0,0.1
SH163406,20160421,1.612,0.0,0.0,0.0
SH163606,20120511,0.0,0.0,0.0,0.022
SH163606,20111116,0.0,0.0,0.0,0.03
SH163606,20110325,0.0,0.0,0.0,0.08
SH163606,20100728,0.0,0.0,0.0,0.054
SH163806,20180313,0.0,0.0,0.0,0.055
SH163806,20180117,0.0,0.0,0.0,0.035
SH163806,20170119,0.0,0.0,0.0,0.035
SH163806,20151222,0.0,0.0,0.0,0.15
SH163806,20150120,0.0,0.0,0.0,0.025
SH163806,20140120,0.0,0.0,0.0,0.015
SH163806,20120625,0.0,0.0,0.0,0.05
SH163806,20110624,0.0,0.0,0.0,0.07
SH163806,20101221,0.0,0.0,0.0,0.02
SH163806,20100629,0.0,0.0,0.0,0.02
